,state,rep_votes_share,dem_votes_share,maskActual,predR,predRMask,year,margin,error margin,predMargin,errors
0,Alaska,0.69324479228428,0.30675520771572,1,0.692695,1,2010,0.38648958456856003,0.0005497706549465464,0.38539004,1.0
1,Alabama,0.6857984313807839,0.3142015686192161,1,0.68282026,1,2010,0.3715968627615678,0.0029781708560341347,0.36564052,1.0
2,Arkansas,0.5745733144369757,0.4195928309963606,1,0.57771635,1,2010,0.1549804834406151,0.0031430361184442424,0.1554327,1.0
3,Arizona,0.5569523017862478,0.4402608029301365,1,0.5583178,1,2010,0.1166914988561113,0.0013654787084421693,0.11663556,1.0
4,California,0.447856147823163,0.5496216354698733,0,0.44875696,0,2010,-0.10176548764671028,0.0009008151914396412,-0.102486104,-1.0
5,Colorado,0.5246692448122535,0.4753307551877464,1,0.525733,1,2010,0.0493384896245071,0.0010637492673363225,0.05146599,1.0
6,Connecticut,0.4181539453248761,0.579736914428254,0,0.41832024,0,2010,-0.16158296910337794,0.00016629326536438116,-0.16335952,-1.0
7,Delaware,0.4195595096743983,0.5804404903256016,0,0.41894206,0,2010,-0.16088098065120332,0.0006174456275385709,-0.16211584,-1.0
8,Florida,0.6184607683149534,0.3815392316850465,1,0.61759305,1,2010,0.23692153662990695,0.0008677183119016885,0.2351861,1.0
9,Georgia,0.6190596757773683,0.3809403242226317,1,0.6179924,1,2010,0.23811935155473662,0.0010672746543214373,0.2359848,1.0
10,Hawaii,0.3631682121291382,0.6368317878708618,0,0.36202577,0,2010,-0.2736635757417236,0.0011424445643646308,-0.2759485,-1.0
11,Iowa,0.5545536569608127,0.4454463430391873,1,0.5550869,1,2010,0.10910731392162543,0.0005332537638271795,0.11017382,1.0
12,Idaho,0.5959999819187791,0.341020865728854,1,0.5958353,1,2010,0.25497911618992514,0.00016465381666730394,0.19167066,1.0
13,Illinois,0.4776813783756762,0.5210888812361835,0,0.47923842,0,2010,-0.04340750286050726,0.0015570423491925722,-0.04152319,-1.0
14,Indiana,0.5847659333478021,0.4084898497070071,1,0.583477,1,2010,0.17627608364079506,0.001288913084130261,0.16695404,1.0
15,Kansas,0.657598788736042,0.3424012112639579,1,0.65622574,1,2010,0.31519757747208416,0.0013730478264656343,0.31245148,1.0
16,Kentucky,0.62452312166518,0.374490207999574,1,0.6244803,1,2010,0.250032913665606,4.28145629766119e-05,0.24896061,1.0
17,Louisiana,0.6845545545951381,0.3154454454048619,1,0.6825613,1,2010,0.36910910919027623,0.001993276251937459,0.36512256,1.0
18,Massachusetts,0.3661667296344516,0.6050968571374211,0,0.3643025,0,2010,-0.2389301275029695,0.0018642434531924712,-0.271395,-1.0
19,Maryland,0.379151572680006,0.620848427319994,0,0.38074556,0,2010,-0.24169685463998802,0.0015939872507954034,-0.23850891,-1.0
20,Maine,0.4397635409320145,0.5602364590679856,0,0.43964708,0,2010,-0.12047291813597111,0.00011646241791535283,-0.12070584,-1.0
21,Michigan,0.5415454697709917,0.4584545302290083,1,0.5410277,1,2010,0.08309093954198343,0.0005177450281023122,0.08205545,1.0
22,Minnesota,0.5812030340786013,0.4048138366820797,1,0.5808276,1,2010,0.1763891973965216,0.0003754402751955377,0.16165519,1.0
23,Missouri,0.606687646786143,0.3893569976470226,1,0.60422915,1,2010,0.21733064913912037,0.002458494583536752,0.2084583,1.0
24,Mississippi,0.5424699744119749,0.4491287520779064,1,0.54446757,1,2010,0.09334122233406844,0.001997593985547108,0.08893514,1.0
25,Montana,0.6409421463271014,0.3590578536728985,1,0.64007646,1,2010,0.28188429265420295,0.0008656878729693673,0.28015292,1.0
