,state,DEMOCRAT,REPUBLICAN,OTHER,Total,State Name,demShare,gopShare,indShare,margin
37,PENNSYLVANIA,2625157.0,3096576.0,22245.0,5743978.0,pennsylvania,0.4570276905656672,0.5390995578325684,0.0038727516017644913,0.08207186726690113
38,RHODE ISLAND,263642.0,141324.0,25195.0,430161.0,rhode island,0.6128914522701965,0.32853745458095923,0.05857109314884427,-0.28435399768923725
39,SOUTH CAROLINA,767627.0,1177365.0,64629.0,2009621.0,south carolina,0.3819760044306862,0.585864200264627,0.0321597953046868,0.20388819583394086
40,SOUTH DAKOTA,132810.0,237163.0,0.0,369973.0,south dakota,0.3589721412103045,0.6410278587896955,0.0,0.28205571757939096
41,TENNESSEE,814181.0,1493740.0,83134.0,2391055.0,tennessee,0.3405111969402628,0.6247200503543415,0.034768752705395735,0.28420885341407875
42,TEXAS,3160535.0,4877605.0,490320.0,8528460.0,texas,0.37058683513787954,0.5719209564212062,0.0574922084409143,0.20133412128332667
43,UTAH,356287.0,710635.0,47222.0,1114144.0,utah,0.31978541373466984,0.6378304779274492,0.04238410833788092,0.31804506419277934
44,VERMONT,264414.0,0.0,29410.0,293824.0,vermont,0.8999060662165106,0.0,0.10009393378348944,-0.8999060662165106
45,VIRGINIA,1859426.0,1843010.0,36580.0,3739016.0,virginia,0.4973035686394495,0.49291310868955895,0.009783322670991513,-0.004390459949890568
46,WASHINGTON,1736145.0,1404890.0,0.0,3141035.0,washington,0.5527302306405373,0.4472697693594627,0.0,-0.10546046128107456
47,WEST VIRGINIA,224449.0,445017.0,16883.0,686349.0,west virginia,0.3270187615921346,0.6483829655175428,0.024598272890322563,0.3213642039254082
48,WISCONSIN,1379996.0,1270279.0,117632.0,2767907.0,wisconsin,0.4985702193028884,0.45893124299335203,0.042498537703759554,-0.03963897630953639
49,WYOMING,75466.0,156176.0,19395.0,251037.0,wyoming,0.3006170405159399,0.6221234320040472,0.07725952748001291,0.3215063914881073
