State,Total,Nike,Costco,Twitter,Facebook,Sears,Wells Fargo,Comcast,Mcdonalds ,United Airlines,Target,Bank of America,U.S.A.A ,Amazon ,Netflix,Microsoft,UPS ,Hobby Lobby,Wegmans ,Chick fil-A ,JP Morgan Chase,Honda ,Pepsi ,Aldi,American Airlines ,Burger king ,Capital One,Charter,Dicks sporting goods ,Dominos ,EA,Fidelety ,Ford,Forever 21 ,General Mills,GoldmanSachs,Hyundai,Kaiser Permentai,Kraft,L.L Bean,MasterCard,Coors,Nintendo ,Papa Johns,Paypal,Progressive,Publix,Southwest,Spirit Airlines,Subaru,Toyta ,United Healthcare,Volkswagon,Wendys ,Starbucks,Delta,Google,Ebay,State Farm,Verizon,AT&T,Fox,Shell,Ikea,T-mobile,Best buy,Lowes,CVS,Disney,Coca Cola,Kroger,J&J,Adidas,Walgreens,Sony,The Home Depot,Samsung,Nestle,Nordstrom,Kohls,Apple,Allstate,Dell,Dish,Fedex,Gamestop,Goya,Hp,Hulu,LG,MLB,NBA,NFL,REI,Clorox,Hershey
 SOUTH CAROLINA (SC),3378,815,449,614,1701,284,772,162,1735,107,722,918,335,1359,1081,0,245,475,0,1484,4,614,653,747,292,1089,263,531,341,809,0,62,1147,237,217,0,185,0,83,59,841,151,108,175,167,78,1252,83,23,74,817,257,56,1379,1111,654,3049,922,635,2379,510,1018,1578,100,454,1005,2105,2296,169,317,1095,143,554,1431,2222,1295,2775,1113,137,1674,926,540,1701,720,379,367,2379,133,816,945,1217,205,936,2,7854,5588
 SOUTH DAKOTA (SD),818,122,42,105,491,30,360,0,530,57,183,28,52,368,137,7,21,150,0,37,0,90,188,88,46,160,106,0,45,29,7,0,116,3,0,0,0,0,62,35,103,124,0,2,124,45,0,0,10,32,123,34,0,15,48,227,720,173,418,788,164,47,113,0,0,207,157,3,0,87,335,49,113,186,453,35,753,257,0,166,82,0,392,194,35,14,140,0,72,165,272,0,100,0,955,1385
 TENNESSEE (TN),4394,1261,274,291,2814,518,137,540,2214,86,887,432,187,1538,1288,65,275,416,24,1699,0,710,967,737,169,1160,227,502,381,1048,0,92,977,97,336,0,46,0,515,44,484,113,0,383,252,65,456,222,0,133,301,498,176,1111,956,625,3660,1581,1000,2404,1326,862,2348,102,330,390,2060,548,169,589,1633,250,638,2130,2683,1115,3824,1609,603,1267,980,287,1767,1119,403,329,2518,25,1108,1458,1367,144,724,148,8320,6862
 TEXAS (TX),20544,5095,2127,2646,11876,3165,3756,1202,8891,1325,5068,3796,1352,6847,7067,368,1305,2826,176,7730,149,2344,3556,1613,2528,5901,2600,530,1221,4673,123,812,4876,1412,996,94,1102,27,2710,223,4700,1010,416,2127,1656,1392,122,2573,535,206,3290,2683,468,4049,7329,1268,18497,5566,3418,5093,8651,4700,9194,1297,5246,5920,7557,7468,960,3035,8118,1939,3555,9727,11782,9318,18910,7019,2929,6634,6034,3443,7924,3885,2557,1714,22921,800,3985,6481,7399,1901,7237,455,44728,35219
 UTAH (UT),2145,622,669,287,1411,151,459,464,1113,65,325,149,61,1031,1038,0,137,229,0,565,0,579,427,0,229,456,121,0,174,369,8,98,491,54,42,0,83,0,131,3,200,12,16,172,54,189,0,201,0,77,210,225,68,729,304,925,2160,345,192,592,688,126,162,166,525,379,438,199,338,185,510,122,375,438,1564,1031,1224,448,556,323,321,166,764,693,255,137,346,0,197,454,597,12,417,4,3710,2984
 VERMONT (VT),775,43,228,40,452,64,0,321,294,32,172,154,118,291,288,0,60,0,7,3,0,90,91,60,49,117,17,0,49,185,0,12,159,7,116,0,13,0,0,204,130,64,0,23,81,43,0,66,0,78,131,19,0,110,61,134,748,253,0,622,81,128,307,20,14,31,299,211,15,0,174,2,80,166,484,355,487,75,0,360,126,0,522,195,71,2,408,0,62,188,257,0,284,0,1509,1132
 VIRGINIA (VA),5464,1208,1185,934,3199,696,1115,702,2894,478,1346,989,578,2722,1805,72,578,229,730,2519,24,1072,1263,773,634,1800,928,248,698,1378,4,232,1476,367,799,0,171,166,489,77,1377,320,85,868,453,202,52,489,126,95,1372,491,246,2092,1553,876,5407,1782,987,4886,731,1725,1955,405,867,1482,2911,2572,198,757,1706,268,780,1783,3366,2047,6963,1596,720,1559,1503,605,2702,792,1069,409,3832,96,579,1798,2027,490,1629,192,11178,9716
 WASHINGTON (WA),6218,1300,2822,712,3570,827,706,2821,2627,461,1829,1536,323,2955,1724,19,374,666,0,360,87,1240,1181,13,290,1557,865,377,661,660,0,407,1981,196,85,0,63,743,580,308,1132,291,0,438,430,213,67,458,97,912,1421,501,360,595,2682,1194,5474,1998,1168,3237,1407,1596,1820,664,1235,1239,1991,459,407,991,1558,301,924,1962,4271,3367,6299,2250,1798,1370,1689,698,2778,437,822,678,2814,3,1221,1533,2202,240,2592,488,10472,8492
 WEST VIRGINIA (WV),1686,150,56,158,858,477,71,247,1102,71,158,46,0,498,340,5,72,230,16,614,0,161,288,13,76,888,132,0,192,324,0,7,706,36,133,0,0,0,238,11,228,1,0,98,209,0,0,1,4,96,255,20,0,675,403,254,1246,608,398,531,605,469,600,23,4,118,912,424,0,215,509,125,181,236,570,192,1584,456,64,431,271,142,267,271,44,191,675,55,142,856,411,113,218,32,3412,3517
 WISCONSIN (WI),4367,470,413,639,2134,783,610,0,2607,403,1356,294,70,1569,1217,10,115,663,0,321,31,284,1157,1128,152,1256,819,705,966,421,33,223,960,102,236,0,155,0,732,82,1034,213,101,313,132,268,3,637,7,341,517,878,71,638,1463,453,3546,971,970,1097,1138,644,1441,198,74,1165,471,543,145,421,770,256,929,2449,2045,1443,4088,1341,431,3024,1119,489,1218,760,135,104,2305,274,845,1044,1431,288,1365,151,7282,7111
 WYOMING (WY),635,117,0,86,334,74,179,0,424,89,40,90,0,48,348,0,34,59,0,89,0,0,226,0,75,154,53,136,0,265,0,0,207,64,12,0,0,0,42,0,153,30,4,47,0,53,0,0,42,0,294,34,0,212,291,112,552,186,186,394,86,121,49,15,92,133,145,48,61,79,390,12,198,144,491,242,557,349,0,193,325,110,364,512,0,8,0,0,352,458,102,1,106,26,1164,1370
