,AT&T,Adidas,Aldi,Allstate,Amazon ,American Airlines,Apple,Bank of America,Best Buy,Burger King,CVS,Capital one,Charter,Chick-Fil-A ,Clorox,Coca-Cola,Comcast,Coors,Costco ,Dell,Delta,Dicks sporting goods,Dish,Disney,Dominos,EA,Ebay,Facebook,Fedex,Fidelty,Ford,Forever 21,Fox,Gamestop,General Mills,Goldman Sachs,Google,Goya,HP,Hershey,Hobby Lobby,Honda,Hulu,Hyundai,Ikea,Johnson & Johnson,Jp Morgan Chase,Kaiser Permanente,Kohls,Kroger ,L L Bean,LG,Lowe's,MLB,Mastercard,Mcdonalds ,Microsoft,NBA,NFL,Nestle,Netflix ,Nike,Nintendo,Nordstrom,Papa Johns,Paypal,Pepsi,Progressive,Publix,REI,Samsung,Sears,Shell,Sony,Southwest Airlines,Starbucks,State Farm,Subaru,T-Mobile,Target,The Home Depot,Toyota,Twitter ,UPS,USAA,United Airlines ,United HealthCare,Verizon,Volkswagon,Walgreens,Wegmans ,Wells Fargo ,Wendys,kraft
Alaska,61,32,2,45,86,25,67,54,60,31,4,14,45,3,61,15,3,2,64,51,80,11,49,16,40,55,50,68,46,0,59,28,66,43,0,9,61,26,63,3,3,65,69,36,20,21,0,3,15,4,0,53,49,29,32,49,41,63,64,39,77,31,61,47,31,56,11,48,0,100,100,74,49,69,7,30,73,54,10,31,47,67,29,67,100,23,17,22,53,27,0,83,29,35
Alabama,73,63,49,71,75,26,64,17,79,100,39,27,91,64,100,53,15,2,14,44,44,54,89,36,77,50,71,89,68,43,62,46,68,80,9,8,64,20,80,3,79,92,71,100,23,34,16,2,32,11,13,90,70,33,50,81,48,64,38,31,72,74,61,21,58,96,14,55,47,7,82,55,87,56,19,43,83,15,27,45,57,80,40,83,56,10,43,76,55,51,1,66,52,39
Arkansas,85,53,24,39,69,37,62,41,79,72,11,25,14,39,73,43,9,2,2,42,40,29,100,27,74,46,67,81,77,35,62,32,54,61,21,8,100,24,85,3,84,90,85,64,21,28,16,1,34,37,11,81,62,30,47,89,49,63,43,60,80,67,68,12,32,86,14,49,0,6,88,68,89,46,21,41,77,23,18,34,54,73,37,79,31,14,37,71,59,56,0,9,41,47
Arizona,27,59,5,42,81,96,71,80,81,79,42,25,26,29,57,26,7,3,56,52,32,44,66,27,53,49,56,64,72,55,50,59,58,75,10,12,70,28,75,3,40,76,81,83,69,31,37,4,42,4,5,98,33,68,48,81,55,67,70,42,78,59,74,42,32,82,13,69,0,31,91,72,56,80,91,84,58,26,34,50,78,74,44,87,61,29,100,64,65,72,1,96,47,38
California,54,95,14,34,82,40,83,82,88,45,40,21,46,18,70,21,22,3,75,52,40,40,52,36,46,73,55,50,78,50,38,100,37,67,9,23,89,29,71,2,24,100,63,63,91,28,23,88,33,1,6,81,24,57,53,65,58,91,55,64,77,76,81,88,13,79,14,40,0,39,86,89,68,97,26,100,31,33,47,67,97,83,52,88,28,38,41,40,58,31,1,65,26,44
Colorado,30,50,4,44,76,40,67,21,81,58,9,25,43,37,46,24,57,45,37,56,45,63,75,23,69,50,52,60,78,67,49,34,57,58,10,14,78,30,73,3,49,65,78,58,76,35,23,72,39,6,7,87,34,62,39,64,58,51,70,40,80,48,66,45,27,75,100,70,0,82,84,64,58,84,61,70,53,69,34,52,63,70,43,82,74,80,61,55,65,55,1,69,53,39
Connecticut,36,60,37,41,83,45,83,87,80,55,73,27,59,14,60,26,40,2,24,48,41,68,41,32,43,60,61,55,73,76,39,64,51,66,14,30,85,79,72,8,11,88,64,78,75,40,34,2,58,1,27,66,36,84,61,60,58,65,61,61,80,64,69,47,5,73,14,63,1,21,77,82,68,75,18,47,23,65,28,46,72,61,51,88,22,23,60,56,79,42,5,29,35,51
Delaware,32,51,37,38,91,61,73,40,83,54,25,38,63,41,65,27,83,2,19,46,18,63,39,35,61,59,59,65,60,0,53,61,53,68,11,26,66,56,57,23,9,77,49,60,38,42,100,3,58,1,17,57,63,63,74,54,46,81,100,46,76,68,52,43,33,65,17,59,0,15,81,77,57,56,23,33,63,27,25,40,63,55,48,81,53,15,41,100,65,82,22,53,39,71
Florida,50,70,53,47,77,79,70,98,93,82,53,31,47,49,55,37,39,1,21,46,44,50,45,100,60,65,61,62,77,46,47,68,47,67,8,12,63,55,77,4,33,82,59,99,80,38,29,2,28,1,7,98,44,50,76,75,51,78,56,51,71,61,67,37,52,85,16,91,100,8,99,79,65,76,31,54,45,20,46,47,98,73,43,91,49,28,92,43,56,70,2,70,61,50
Georgia,70,74,50,60,73,28,72,74,79,79,49,29,54,100,88,100,40,2,20,45,100,52,68,32,66,54,55,69,78,57,58,59,59,75,18,13,67,31,72,3,64,92,63,78,54,47,22,37,35,60,11,83,50,42,57,74,50,78,53,41,69,77,61,32,68,88,15,84,47,18,85,65,59,73,22,57,100,19,26,46,89,73,43,100,70,13,56,58,69,41,2,73,68,37
